2023-03-14 22:50:35.394 [main] INFO  org.calc.Calculator - [SQ ROOT] - 16.0
2023-03-14 22:50:35.396 [main] INFO  org.calc.Calculator - [RESULT - SQ ROOT] - 4.0
2023-03-14 22:50:35.396 [main] INFO  org.calc.Calculator - [SQ ROOT] - 1.0
2023-03-14 22:50:35.396 [main] INFO  org.calc.Calculator - [RESULT - SQ ROOT] - 1.0
2023-03-14 22:50:35.397 [main] INFO  org.calc.Calculator - [SQ ROOT] - 81.0
2023-03-14 22:50:35.397 [main] INFO  org.calc.Calculator - [RESULT - SQ ROOT] - 9.0
2023-03-14 22:50:35.397 [main] INFO  org.calc.Calculator - [SQ ROOT] - 36.0
2023-03-14 22:50:35.397 [main] INFO  org.calc.Calculator - [RESULT - SQ ROOT] - 6.0
2023-03-14 22:50:35.398 [main] INFO  org.calc.Calculator - [SQ ROOT] - 3.0
2023-03-14 22:50:35.399 [main] INFO  org.calc.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-14 22:50:35.399 [main] INFO  org.calc.Calculator - [SQ ROOT] - 4.0
2023-03-14 22:50:35.399 [main] INFO  org.calc.Calculator - [RESULT - SQ ROOT] - 2.0
2023-03-14 22:50:35.399 [main] INFO  org.calc.Calculator - [SQ ROOT] - 81.0
2023-03-14 22:50:35.399 [main] INFO  org.calc.Calculator - [RESULT - SQ ROOT] - 9.0
2023-03-14 22:50:35.400 [main] INFO  org.calc.Calculator - [SQ ROOT] - 36.0
2023-03-14 22:50:35.400 [main] INFO  org.calc.Calculator - [RESULT - SQ ROOT] - 6.0
2023-03-14 22:50:35.401 [main] INFO  org.calc.Calculator - [NATURAL LOG] - 1.0
2023-03-14 22:50:35.402 [main] INFO  org.calc.Calculator - [RESULT - NATURAL LOG] - 0.0
2023-03-14 22:50:35.411 [main] INFO  org.calc.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-14 22:50:35.411 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 8.0
2023-03-14 22:50:35.412 [main] INFO  org.calc.Calculator - [POWER - 3.0 RAISED TO] 3.0
2023-03-14 22:50:35.412 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 27.0
2023-03-14 22:50:35.412 [main] INFO  org.calc.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-14 22:50:35.412 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 64.0
2023-03-14 22:50:35.412 [main] INFO  org.calc.Calculator - [POWER - 5.0 RAISED TO] 3.0
2023-03-14 22:50:35.413 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 125.0
2023-03-14 22:50:35.414 [main] INFO  org.calc.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-14 22:50:35.414 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 8.0
2023-03-14 22:50:35.414 [main] INFO  org.calc.Calculator - [POWER - 1.0 RAISED TO] 3.0
2023-03-14 22:50:35.415 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 1.0
2023-03-14 22:50:35.415 [main] INFO  org.calc.Calculator - [POWER - 3.0 RAISED TO] 4.0
2023-03-14 22:50:35.415 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 81.0
2023-03-14 22:50:35.415 [main] INFO  org.calc.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-14 22:50:35.415 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 64.0
2023-03-14 22:50:35.416 [main] INFO  org.calc.Calculator - [POWER - 5.0 RAISED TO] 2.0
2023-03-14 22:50:35.416 [main] INFO  org.calc.Calculator - [RESULT - POWER] - 25.0
2023-03-14 22:50:35.417 [main] INFO  org.calc.Calculator - [NATURAL LOG] - 2.4
2023-03-14 22:50:35.418 [main] INFO  org.calc.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-14 22:50:35.418 [main] INFO  org.calc.Calculator - [NATURAL LOG] - 2.1
2023-03-14 22:50:35.418 [main] INFO  org.calc.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
